Response,Label
ggg,1
hgghghghghghghhg,1
ufdhgjndfnvbhfdjvnjkmfgbdfg,1
dbdbdbd,1
dfgdfgd,1
gafsdhs fsdhgdf,1
gfffcccd,1
2t gtq64qyh5t2312 rty 6 4ht4gw hjw4wtg,1
knlihbkuvjgch,1
ddddddddddddddddddddddd,1
hfy ky,1
sfgh,1
assa,1
awdadw,1
fe er ger ger gre ger ger,1
gg,1
asfg,1
ndjty yuke6u7yk rtrwtj kmt hjw yjwetyjwety,1
fsdfsdfs dfsdfsdfs,1
Ghfghhhhhj,1
tdsdfghjoiuytrdfgh,1
Gghjkkknnbvvcccv,1
t,1
tjdytdf,1
dwe few fer ger ger ger ger erg,1
gddbfnlnhfwdjxsyljryhfrtihtethgd,1
fgfhjk'll/k;lk;,1
DFGHJWERTERTHGJGGHHGFDGH,1
5yyrfiijggb nvcyhgtpjhv,1
no hbn e  non3,1
asadadas,1
zhzjiskwbxhdnfund cisnbcc,1
hgjhghffhfgf,1
fghj,1
qwdqqdwwqwdqwdqwqdwqdwwqdwqd,1
sgddfgfdg,1
dfhghhj,1
nnnnnnnnnnnnnn,1
sdbfdgn,1
hytre,1
vggg,1
Shsjdjsjdjdbd,1
kjgjgkj,1
refgregregr r reg,1
vgyujhbn,1
cccccccccccccccc,1
ojbiuk b;o,1
Cc c c cc,1
sdfsdfsdf,1
sfadsad,1
nsnshshss,1
vhjjnjgfcbj,1
qwewqeqw asdassa ewqeqw asdas,1
bjvtyre,1
vdvcvxcx,1
????????,1
dfgetertertre,1
147852,1
kjhkjh,1
yessss,1
sgeyj,1
gcgchcv,1
klasndlkabsdlibalsda,1
?????,1
46yu4u4wu45u656u,1
jkl;kl;kl;kl;klk;lklkl;kl,1
r. rr r,1
gfdg hgdfghdfhj dg,1
eaeagegegeg,1
dfsdfdfsdf,1
jhfhgf,1
nnnnnnnnnnnnnnnnn,1
jsdgfuadsfkhfs,1
fsdf,1
rfyguhjhyuj gyfghb,1
gfhgfhgf,1
ererqewrrwe,1
kuyuyuky,1
vmjfduchb,1
Fhhck,1
lifcbui,1
hgfhgfhgfhgfh,1
hfhfghfghfgh,1
gdfjfgfghg,1
xxxxx,1
ni,1
"nvcjgtflufdhtf,j",1
���.�..,1
gfhvmfghmdhg,1
nlklh,1
vghjnrsh,1
mhgcdjhdf,1
rg,1
Ywaaa,1
ckjyrdhg cv b,1
bgj ryjsrtj trjtr jitr ijutr jistyk yktf,1
dfsdgf ihkhk,1
yeryeyhfd,1
ddddddddddddddddddddd,1
gdfgfdgfdgfdgdgd,1
lkjlkjlkj,1
uuuuuuuuuuuuuuuuuuuuuuuuuu,1
uiyui,1
dd,1
34r5ty67u8i9o,1
dwadwadwafwwafadawdwa,1
kuykuyk,1
ftu67b8,1
ufiidykdykdydyudykydky,1
Sksjsjsjsjsjsjsjajajwkwkwksksjs,1
eiryiuehf dsiuhieuwrhf kjhdkjfh dsiufhewirouieowkfkjsdh bvmxcn vkhdsfkjds fewhuhrewuk,1
k bkjb kjb,1
zsuwwhssh,1
cghhgggg,1
jkhgkhkj,1
trdhujtd,1
ehhhhhhhhhhh,1
hehhd,1
rtwr3wt qtq3t3rwt wer tw tewtret ertwesfgsgsdgsegdfgdfggsfgsdfg,1
sagsfd,1
SDFDSF,1
lkhklhkl,1
h,1
jjj;kl;kl;kl;kl;kl;kl;kl,1
fghjk,1
dfuhv h,1
Jsnd djis. D xjxjd dnxid. Ixjx xnxiix d d xix xnidbd f cn,1
d<bxfbvxc,1
Ffg,1
gfhgfh fh,1
uikiukukouik uiokluiokloio,1
fgfhjj,1
gg,1
rhdfjh,1
rr,1
Hdjdjdkdkkdkdjdj,1
cuz,1
fsdfsdfsdfsda,1
nnnnnnnnnnnn,1
7ry,1
ewrwueoriuwe kldjflkdsj fsdoirueowiuroiew sldjflksdjfds loiruweoiruoe fdlkdsjflkds faoiueioqwulskjflska doiquwewoiqulkdsjlksajd asoieuqwoieasjdlkasjdlas,1
zdgzdf zdfg,1
sfjdajklsfdajklsfdjk,1
sdfasaffasdasdf,1
dhhebd fbjdnd didn�t ejdjhe diskette ebsjhdjd,1
fgdfgdf,1
grds,1
ytghbjnm,1
Tfghhghhhh bgyyy,1
gdsjfdykigh,1
ncowefc qeufbpef efcubwef ewufbwuep,1
f. vhvh h h hvh hi i there is no one in my,1
GTYDJUTY,1
vgbhnj m,1
ddthgg,1
kdhisejcsuvvsuvusgesu,1
bff cbdb,1
sstrstrstdygxhststjttystjtsst,1
rsehgrbs,1
Sjsjj,1
teerg d sulfur shy ft,1
hjghjhgj,1
dsfgdfg,1
c,1
hjmgkjgj,1
fdhjdh,1
34r3zwzwz,1
bxcbd,1
hjkj hjhkj jlhjk kkjhjkhkh,1
ggdfgdfgdfg,1
shhdfjdbcbdbcbdkwpzbq sjenxkabx,1
thyjkut ujikuly ujeiloritpi,1
uduguhd fg dfjghdlkfg jdfghd fdflgjkdfij djkfkdjfljd fgjldlkfgdfgkjd fgdflkg dfjgdkjlfl gdjkf g,1
fcdcd,1
hjjhjkkj,1
xhhdhdb dhdhdhd djeikejebd dine djeijed,1
sdfsdfs,1
uihiuhi,1
lakskdbhaiks. slackens aka aoah,1
asdasd,1
He d ejjeneke dv,1
regerg,1
ttertertg,1
d asd fasdf asd as,1
hchdhfufj,1
gfcuujc,1
mnkjjk,1
agvf,1
[pi'p[iip,1
ajshasihd,1
f,1
bkhkjjhljkjk,1
shsjjs snsjsjs,1
ghnvhnmjy,1
asgdsgsdgs,1
jhkkgkjhj hjkhkjjk kjhkj,1
x,1
kjhvbkjhv,1
dasd asd asd fdd as,1
Ggvvvvvv,1
jkjhkjh,1
fghdfhfghfgh,1
tyinw46nu ar5turtsjsfghk duylty siytk tykty,1
retertert,1
hdhghfghfgh,1
fhxx,1
jdkr jk neeke no i'm in km,1
dgdgsdfgsd,1
hkvo tig dsuf dsti ogig fufuf fgi,1
awdyhdfh dfhd,1
kjg kjghkgl,1
hkjhjkhkjhkjh,1
yt tyrtyrtrt,1
isk,1
